CXC_g,CRE_g,CN_g,CNumerical_Error_g,CXC_r,CRE_r,CN_r,CNumerical_Error_r,CXC_W1-fixBA,CRE_W1-fixBA,CN_W1-fixBA,CNumerical_Error_W1-fixBA,CXC_W2,CRE_W2,CN_W2,CNumerical_Error_W2,CXC_W3-fixBA,CRE_W3-fixBA,CN_W3-fixBA,CNumerical_Error_W3-fixBA,VFID,Vcosmic,logmstar,logsfr,delta_logsfr,Size Ratio,NUV_r,W1_W3,SNR,cluster_member,rich_group_memb,poor_group_memb,filament_member,pure_field,CRE_g_unscaled,CRE_W1-fixBA_unscaled,CN_g_unscaled,CN_W1-fixBA_unscaled,Feature Cluster,Comp1,Comp2,RA,DEC,ms_pop,transition_pop,suppressed_pop
489.4673,1.029530089521367,-0.8952289078373658,False,488.8517,4.017262060621829,0.9618,False,47.0264,1.0192971207662298,-0.5822288201152653,False,0.0,0.0,0.0,False,46.8192,3.377537288206356,0.4994,False,b'VFID0002',3068.6982545259793,10.219123100922877,-0.06763142205179036,0.3249298080719472,1.0463124721679855,2.7116919748535153,1.2926424821923828,634.154,False,False,False,False,True,4.123795796024685,3.228038829746542,0.708,0.8635,2,1.7789989305676044,-0.18919514094701695,145.944663,74.8595778,True,False,False
618.4471,0.4117674728103224,-0.4990153003924733,False,620.0802,3.247049638207493,1.2166,False,59.2713,0.5537252098010982,-0.5608614023549776,False,59.2471,2.93532019749124,0.8544,False,59.4307,2.5708655590832854,0.6718,False,b'VFID0005',2202.600664358308,9.789876666578706,-1.0836252482557123,-0.3481767251940979,0.9537437799958778,3.0736345684814452,0.5244779332153318,163.06767,False,False,False,False,True,3.1537402461941895,2.695551586291234,0.9083,0.8755,2,0.9644303787055372,-0.3193347259874561,173.1341835,74.6275401,True,False,False
300.7527,-0.2466477620878514,-0.3465037220899211,False,301.0609,2.0073230267451394,1.0984,False,28.9388,-0.3246961441575066,-0.3701571988444077,False,28.772,0.06659012120628048,19.9995,False,28.9305,5.220877972864853,2.0999,False,b'VFID0007',2680.215400343395,8.745236611706895,-1.377217013984891,0.19270274016974343,3.0876742060772218,2.208140140014649,0.24350969015869062,10.976877,False,False,False,False,True,2.1198490144677624,1.6908772183894978,0.9854,0.9826,0,-0.10285625019685594,-0.6370280449567679,118.2363,74.576533,True,False,False
845.3353,1.3978333620077894,-1.0141127710796922,False,847.024,4.52066899488396,0.7692,False,80.8153,1.5142434059033134,-0.5519583116215243,False,80.874,3.6776046100233915,0.8366,False,80.8697,3.3952185282747176,0.5419,False,b'VFID0008',1516.6975640757769,10.302613494540813,0.32093742788673646,0.6468055121542697,0.8948626905874811,3.105911816589355,1.4095045732373048,2521.1453,False,False,False,False,True,4.702132237614999,3.794122342999619,0.6479,0.8805,2,2.3445689809819945,0.05473739639374391,274.943166,74.5683889,True,False,False
504.5408,0.7439316130229403,0.2241783834909647,False,505.1966,3.4947994946072907,1.3889,False,48.3826,0.5828285107450354,0.2689066540028705,False,0.0,0.0,0.0,False,48.2718,2.3951426618887894,1.0198,False,b'VFID0011',3671.9688577414645,10.047311902795538,-0.4459323859052998,0.08387372713122321,0.8777152831652445,2.724070092407228,0.779579082407226,141.51485,False,True,False,False,False,3.6753284079761452,2.728837822273473,1.2739,1.3415,2,0.6420069959956722,0.7714535278379772,154.4161905,74.3473859,True,False,False
660.3126,2.0675841758982663,-0.9411208483901441,False,661.3164,5.474783737402965,0.7773,True,63.5337,2.3191993759328557,-1.057297741652334,False,63.3689,4.901731367178887,0.6238,False,64.2071,2.406413395839479,0.8868,False,b'VFID0014',2617.8027353904595,8.99367292762645,-1.6981017933827505,-0.3266360018411478,0.5103986395238334,2.3980540512084954,-2.0456249116210916,6.018524,False,False,False,False,True,5.753823415493184,4.714772355358346,0.6848,0.5967,2,3.3960447966006195,0.29373859896171256,262.26691650000004,74.2578333,True,False,False
628.6472,1.0068143469177666,-0.7124523859806106,False,629.0544,4.23205559340473,0.8942,False,59.9558,1.3696537550219665,-1.1076892352036796,False,59.9315,4.075168271334352,0.7929,False,59.9574,3.093723541567166,0.7888,False,b'VFID0015',2557.5892201592083,9.807128211289209,-1.9096864697976048,-1.188018691295509,0.8525587301587302,3.702810703796386,0.3582431964990249,125.62484,False,False,True,False,False,4.088125893727164,3.6287512310045487,0.8004,0.5684,2,2.0957084602163807,-0.3044730771382486,188.9393595,74.242585,False,True,False
296.3992,1.5519926699074584,0.6372058484659695,False,296.486,5.009951043313659,1.6675,False,28.426,0.7807110291983396,-0.15559271216818307,False,28.4996,3.4863353178954606,1.0096,False,32.8758,10.956956665101922,0.0565,False,b'VFID0017',3146.789073434854,8.718052411168538,-1.0537148842862332,0.5379199411828999,3.7077354001995246,2.2267816729736314,0.7908229354980456,7.60804,False,True,False,False,False,4.944204334794117,2.9551614347971795,1.4827,1.1031,2,1.2439091492020233,1.1277782251287622,157.678335,74.2275172,True,False,False
583.6997,2.08142470879045,0.2894557127255199,False,583.3223,6.144133836481442,1.9305,False,55.4259,1.8827004788801591,3.1145125142292165,False,55.4165,5.895742058983648,4.7075,False,55.4143,46.81852197055371,11.5267,True,b'VFID0019',2672.611088159115,10.481603202279253,-0.5181190693212444,-0.3352301490948638,11.106182964579027,3.3744015609130855,0.8936455163793937,528.34735,False,True,False,False,False,5.775556821467399,4.215536707784495,1.3069,2.9396,2,1.286206289535837,3.50661796677107,155.4540195,74.1769917,True,False,False
1544.0449,-0.8306228039555319,2.6928482890886962,False,1543.4625,1.3200974710903104,2.2655,False,147.1519,-0.8325393817255483,2.542934089141514,False,147.175,1.4000373056992717,1.1654,False,147.0339,0.8620437189644559,1.7473,False,b'VFID0022',2503.629374703005,9.035317397364844,-1.5485976620741932,-0.21039798144682065,0.7765858019423788,2.636336533874511,-0.010696835971680585,18.93801,False,True,False,False,False,1.2028491588562158,1.110043110250447,2.5219,2.6186,1,-2.850339448462626,2.6335845691018442,132.0992085,74.0382222,True,False,False
1322.0558,0.5829514230427771,-0.15581479668958342,False,1321.533,3.141839733986936,1.0925,False,126.0632,0.4948546879408657,0.23649940373310047,False,125.924,2.6184831041198025,0.864,False,124.4301,1.6873771286855321,0.9957,False,b'VFID0025',2359.9292832410447,9.54365800328154,-1.1519480853313762,-0.21981708764947028,0.6420228427217135,3.189337741210938,0.3449045367602537,50.29781,False,True,False,False,False,3.4225456683302666,2.6282197710166684,1.0818,1.3233,2,0.6386155198329801,0.4322108127813123,132.1589265,73.9393089,True,False,False
346.9716,-0.10890267323381206,1.4828439771863462,False,346.8438,2.336880618657188,2.2828,False,33.5026,-0.6422598258391199,1.962096449691021,False,33.4608,1.7506985222969846,1.0937,False,33.5701,0.006955422025661809,7.4194,True,b'VFID0026',3477.9606702785923,9.902882245932197,-1.6731921444693154,-1.0280138580157154,0.005238814423258449,4.38693050341797,0.5788280348828128,137.67378,False,False,True,False,False,2.3361463174935553,1.327671007925427,1.9102,2.2924,1,-1.6643750832642925,1.8757230557276847,141.41841599999998,73.9001194,False,True,False
605.4158,1.9167893025121114,-1.0293441479010885,False,605.327,5.05489574775983,0.7735,False,57.6668,1.234980070421966,-0.5047719307342217,False,57.7006,3.8164853573480517,0.7268,False,57.9094,3.540572329893602,0.3192,False,b'VFID0027',3990.169964490687,10.026103823000632,-0.7680015545358657,-0.22125416840432843,1.0189514627384448,3.15543968017578,0.9666820786010746,124.2212,False,True,False,False,False,5.51703439677105,3.4747212790472566,0.6402,0.907,2,2.4698270836655234,0.18519868447512777,157.6912245,73.8854228,True,False,False
419.4937,1.4937680102263384,-0.9377580768841214,False,426.1447,4.739712963410272,0.7366,False,41.1754,1.3042342223195624,-0.6181973066784168,False,40.7991,4.051344648192802,0.681,False,65.0047,12.659457005046603,0.0387,True,b'VFID0028',2629.8859638072317,8.978335209180315,-1.331213642150034,0.052504106162913455,3.562101698530784,1.9361361013183611,-1.353214180007324,4.8413205,False,False,True,False,False,4.852775762179337,3.5539291341030745,0.6865,0.8433,2,2.2644109149756253,0.030008104061013667,127.46229149999999,73.8563889,True,False,False
622.983,1.060575395037121,-0.750629733078396,False,620.3499,4.184313025884383,0.9255,False,58.8874,0.9039405673757799,-0.06834242298034078,False,58.8006,2.9832709348374937,1.1702,False,58.467,2.0568201182393717,1.1633,False,b'VFID0030',1900.636167476704,9.777316150906758,-0.9469153900889719,-0.20143337374222836,0.664325609688658,3.1178106092529294,0.6162790351000975,261.15228,False,False,False,False,True,4.17254538056911,3.096102405570844,0.7811,1.1521,2,1.5004653652003468,0.19412972581691657,158.5963845,73.7650129,True,False,False
530.7038,1.2200235883504829,-0.8437982848040796,False,530.8677,4.336727694780262,0.8506,False,51.0128,1.196321123749407,-0.6636030694190287,False,50.993,3.886910939965928,0.7621,False,50.8151,3.1102667127709975,0.2517,False,b'VFID0033',3303.2068150055993,9.140217947789637,-2.123643806777407,-0.8692399666858011,0.9066495498152422,3.161140467041017,-1.6749215536083977,7.3906574,False,False,True,False,False,4.422922468223833,3.4305059914327543,0.734,0.8178,2,2.0133686313857315,-0.08017510450264183,190.2086265,73.7189281,False,True,False
597.0486,0.5937484646470286,-0.7516187835213438,False,598.0054,3.2497514656348776,0.8464,False,56.9829,0.5414778938514072,-0.7715085291084828,False,57.1594,3.023862929554238,0.7066,False,57.9916,2.852931981236967,0.4427,False,b'VFID0034',1691.149493622289,8.872608384859427,-1.4041587239392428,0.06401490258663922,1.0639139178947608,2.1179942654418937,-1.3521218418090832,5.495731,False,False,False,False,True,3.4394999641174038,2.681543998298526,0.7806,0.7572,2,1.2280201689821735,-0.5377146747734012,114.24410999999999,73.7134065,True,False,False
536.1022,0.6381242488630412,-0.13702283827357536,False,535.6229,3.4148866243558107,1.2896,False,51.2931,0.6771816246810186,-0.1084063312808806,False,51.2411,2.885633636444748,0.8729,False,51.7289,2.8905291575637735,0.5167,False,b'VFID0035',2043.0144885027585,9.327612363193095,-1.0405253885723778,0.06418550437211734,1.018957284476047,2.593536625488282,0.11922736926757871,46.730743,False,False,False,False,True,3.509182030646461,2.836752042113422,1.0913,1.1296,2,0.895226590513398,0.3071248590918751,194.9850765,73.6926949,True,False,False
1090.9995,1.6338050027564934,0.263344781031698,False,1091.0609,4.523984989271274,1.3641,False,103.9987,1.047266170884972,0.07161416334954519,False,103.9519,3.1357115752819102,1.0227,False,103.6014,3.0323130855718228,0.6608,False,b'VFID0036',2001.7537990623332,10.074977395942778,-0.467898470276666,0.03980810903270671,0.9301494584757668,2.9534975306396483,0.8020064772875966,231.43156,False,False,False,False,True,5.072671978154135,3.2600277922441263,1.2937,1.2307,2,1.5202414464410952,1.1587822221028898,163.478541,73.6903611,True,False,False
180.7805,-1.0973358849965216,2.3743740464595016,False,180.8452,0.8011597203600632,2.5484,False,17.4963,-1.2623569210389285,0.7368531029531765,False,17.5,0.936172185059549,0.9094,False,17.6082,0.017361253075284078,19.9999,True,b'VFID0038',2246.197475157791,9.527161890495844,-3.1840661904554928,-2.2387578964595782,0.02807224185316058,5.652568213378904,-2.4267727302783193,15.438972,False,True,False,False,False,0.7840369849282155,0.6184491130454343,2.3609,1.6043,1,-2.560647226001435,1.077311425624547,132.10166700000002,73.6712778,False,False,True
372.8179,-0.5947525237857844,-0.6734837985284667,False,374.0095,1.4356035287576765,1.0146,False,35.7966,-0.6893379068680524,-0.9043426428516061,False,36.0556,1.306140402351098,0.6953,False,36.1781,1.1219286739858303,0.5826,False,b'VFID0040',1795.3441379316107,8.959742402092244,-2.3758585348738945,-0.9772886252371489,0.880754678652142,4.352890433715821,0.8550928729394531,157.89906,False,False,False,False,True,1.5732297356818297,1.2738265276123968,0.8201,0.6826,0,-0.24387652752893024,-1.4159128037361677,279.634545,73.6567366,False,True,False
357.468,0.21068255807636277,0.43682422872474347,False,357.2475,2.775869739410991,1.6096,False,34.2009,-0.06833853539123673,1.6707873208924284,False,34.0521,1.7504356612484038,1.3259,False,34.1587,2.1724891217567652,12.086,True,b'VFID0041',2481.004936961681,9.088380616895183,-1.0775027625628095,0.21830937039133658,1.094960236105166,2.141644968627931,0.42807870069824183,23.623764,False,False,True,False,False,2.837982166556118,1.9840803803838838,1.3814,2.1288,1,-0.6345498187506861,1.3648777398167056,126.95062499999999,73.6513333,True,False,False
187.5478,-0.037602809819582736,0.15870324416781947,False,187.1614,2.457409863178669,1.4118,False,18.0741,-0.15628388446500566,-0.1452651269173772,False,18.0189,2.1450358897730353,0.7455,False,18.2288,1.7865305702832421,0.533,False,b'VFID0042',3169.556164076897,8.514801002405928,-0.8945264321467133,0.8594681003818408,0.9485189339963012,1.2656716663818361,0.16347960079833967,6.988699,False,False,False,False,True,2.4481065208729076,1.8834948953061268,1.2408,1.1089,0,-0.12983378844938545,-0.058306963160119164,127.27170000000001,73.629097,True,False,False
556.3973,-0.3471962585666797,-0.6125582912428819,False,557.4573,1.9346872315458639,0.9133,False,53.4996,-0.362090664588535,-0.18835608606729118,False,53.4368,1.5683274099365667,0.8802,False,52.6304,1.30841227697729,1.2967,False,b'VFID0043',1267.3570622856998,8.762333752013541,-2.295504894378642,-0.7392425446604167,0.793887418778315,3.2215011252441403,-0.652745828549806,22.965435,False,False,True,False,False,1.9619604915984317,1.6481080894199822,0.8509,1.0847,0,-0.15118588200953514,-0.7347579204824404,190.9086435,73.6133058,False,True,False
