VFID,RA,DEC,objname,group_flag,SNR_phot,WISE_AGN_flag,kauffman_AGN_flag,preGALFIT_sample_flag,Re_W1,Re_W1_err,Re_W3,Re_W3_err,size_ratio_px,bad_model_flag,virgowise_sample_flag,axis_ratio,t_type,logM200_model
b'VFID0000',185.86877249999998,74.9522485,b'NGC4363',False,51.32979,False,False,False,4.0065,0.031,4.2165,0.0693,1.0524148259078996,False,False,0.77,3.0,
b'VFID0001',182.208,74.9042778,b'NGC4133',False,470.27628,False,False,False,4.6028,0.015,8.616,0.4913,1.871904058399235,True,False,0.63,3.0,12.636439571431888
b'VFID0002',145.944663,74.8595778,b'NGC2977',False,634.154,False,False,True,5.8386,0.0127,6.109,0.0116,1.0463124721679855,False,True,0.48,3.0,11.95347163102333
b'VFID0003',185.5730835,74.8383889,b'PGC040048',False,7.3665643,False,False,False,2.027,0.0248,0.01,0.0001654,0.00493339911198816,True,False,0.83,-5.0,12.881320763239842
b'VFID0004',182.82775049999998,74.8082222,b'UGC07189',False,50.106102,False,False,False,8.5844,0.1196,6.6152,0.1921,0.7706071478495875,False,False,0.74,8.0,12.84668396847592
b'VFID0005',173.1341835,74.6275401,b'NGC3752',False,163.06767,False,False,True,6.7926,0.0233,6.4784,0.0299,0.9537437799958778,False,True,0.45,2.1,12.49742006532772
b'VFID0006',121.912404,74.5846308,b'UGC04202',False,9.288515,False,False,False,4.6543,0.0711,99.2084,669.0236,21.315428743312633,True,False,0.15,5.9,
b'VFID0007',118.2363,74.576533,b'PGC022064',False,10.976877,False,False,False,3.5016,0.0358,10.8118,3.5273,3.0876742060772218,False,False,0.31,4.6,12.795401297719724
b'VFID0008',274.943166,74.5683889,b'NGC6643',False,2521.1453,False,False,True,13.8847,0.0218,12.4249,0.0213,0.8948626905874811,False,True,0.51,5.2,11.795806420574413
b'VFID0009',183.47745,74.501404,b'UGC07238',False,1.6621865,False,False,False,9.0373,0.1918,5.9532,7.8925,0.6587365695506401,True,False,0.16,5.9,
b'VFID0010',190.435041,74.4208611,b'NGC4648',False,0.0,False,False,False,0.0,0.0,0.0,0.0,,False,False,0.0,-4.9,12.426643484234889
b'VFID0011',154.4161905,74.3473859,b'NGC3155',False,141.51485,False,False,True,4.1248,0.0226,3.6204,0.0259,0.8777152831652445,False,True,0.61,3.5,12.910975796900802
b'VFID0012',110.33325,74.323799,b'PGC2761545',False,0.48655418,False,False,False,5.7668,0.1046,11.659,44.9136,2.021745161961573,True,False,0.24,,
b'VFID0013',139.6340505,74.3191954,b'UGC04883',False,178.44496,False,False,True,2.2988,0.0131,0.0196,0.0238,0.008526187576126675,True,False,0.53,2.1,12.363835057723316
b'VFID0014',262.26691650000004,74.2578333,b'UGC10892',False,6.018524,False,False,False,9.9965,0.1522,5.1022,0.846,0.5103986395238334,False,False,0.1,7.5,
b'VFID0015',188.9393595,74.242585,b'NGC4572',False,125.62484,False,False,True,7.875,0.0323,6.7139,0.062,0.8525587301587302,False,True,0.25,5.0,12.773752863410568
b'VFID0016',138.6996255,74.2324722,b'UGC04841',False,36.025723,False,False,False,19.7805,0.3263,15.7833,0.4911,0.7979221961022219,False,False,0.77,6.9,
b'VFID0017',157.678335,74.2275172,b'UGC05686',False,7.60804,False,False,False,5.2124,0.1731,19.3262,1.194,3.7077354001995246,False,False,0.74,9.7,
b'VFID0018',189.35429100000002,74.1918611,b'NGC4589',False,89.02878,False,False,False,0.0,0.0,0.0,0.0,,False,False,0.0,-4.8,12.785325111475355
b'VFID0019',155.4540195,74.1769917,b'NGC3183',False,528.34735,False,False,True,8.7547,0.0891,97.2313,21.9676,11.106182964579027,True,False,0.47,3.8,12.75441134307574
b'VFID0020',132.0193335,74.0987778,b'NGC2633',False,1563.9098,False,False,True,6.3384,0.1987,608.9214,0.0,96.06862930708064,True,False,0.49,3.0,11.977813640266705
b'VFID0021',278.702208,74.0618056,b'PGC062075',False,37.62604,False,False,False,3.4602,0.031,2.5217,0.0871,0.7287729033003872,False,False,0.28,6.0,
b'VFID0022',132.0992085,74.0382222,b'PGC213530',False,18.93801,False,False,False,2.4609,0.055,1.9111,0.2104,0.7765858019423788,False,False,0.63,2.0,
b'VFID0023',126.14016600000001,74.0123056,b'NGC2550',False,331.51837,False,False,False,4.9346,0.0293,4.7877,0.011,0.9702306164633405,False,False,0.42,3.1,12.18681726798878
b'VFID0024',132.10595849999999,73.9671111,b'NGC2634',True,19.75685,False,False,False,8.0945,0.0734,5.8464,0.7465,0.7222682068070913,False,False,0.9,-4.9,11.9035635830089
b'VFID0025',132.1589265,73.9393089,b'NGC2634A',True,50.29781,False,False,False,6.1814,0.056,3.9686,0.0731,0.6420228427217135,False,False,0.25,4.0,12.3205398835094
b'VFID0026',141.41841599999998,73.9001194,b'PGC026731',False,137.67378,False,False,True,2.1188,0.0157,0.0111,0.2704,0.005238814423258449,True,False,0.39,1.0,12.20648048878384
b'VFID0027',157.6912245,73.8854228,b'UGC05689',False,124.2212,False,False,True,4.8334,0.0202,4.925,0.0277,1.0189514627384448,False,True,0.18,6.4,12.64427912956017
b'VFID0028',127.46229149999999,73.8563889,b'UGC04413',False,4.8413205,False,False,False,7.5006,0.1649,26.7179,26.1053,3.562101698530784,True,False,0.15,6.0,
b'VFID0029',142.8079995,73.8105833,b'UGC05052',False,182.69447,False,False,False,10.4428,0.3006,10.4754,2.3,1.0031217681081703,True,False,0.58,1.1,12.259020191040698
b'VFID0030',158.5963845,73.7650129,b'NGC3252',False,261.15228,False,False,False,9.0415,0.024,6.0065,0.0353,0.664325609688658,False,False,0.25,7.4,11.61240619577102
b'VFID0031',139.63647,73.7596962,b'IC0529',False,223.20271,False,False,False,14.715,0.0601,12.7094,0.0898,0.8637037037037038,False,False,0.45,5.2,12.032792607587345
b'VFID0032',129.9781065,73.7540147,b'UGC04502',False,15.706391,False,False,False,7.743,0.0829,8.4892,7.1669,1.0963709156657626,True,False,0.22,5.8,13.055443012758808
b'VFID0033',190.2086265,73.7189281,b'UGC07844',False,7.3906574,False,False,False,5.7643,0.069,5.2262,0.5098,0.9066495498152422,False,False,0.14,6.1,
b'VFID0034',114.24410999999999,73.7134065,b'UGC03909',False,5.495731,False,False,False,8.8009,0.06,9.3634,1.229,1.0639139178947608,False,False,0.19,5.8,
b'VFID0035',194.9850765,73.6926949,b'UGC08120',False,46.730743,False,False,False,7.7068,0.1395,7.8529,0.1214,1.018957284476047,False,False,0.57,6.4,12.949598267262443
b'VFID0036',163.478541,73.6903611,b'NGC3403',False,231.43156,False,False,True,9.0393,0.0232,8.4079,0.0247,0.9301494584757668,False,True,0.35,4.0,11.834327544413302
b'VFID0037',188.8853745,73.6748333,b'UGC07767',False,25.261438,False,False,False,2.1599,0.0135,2.3828,0.5467,1.1031992221862124,False,False,0.95,-4.9,13.357696626252443
b'VFID0038',132.10166700000002,73.6712778,b'NGC2636',False,15.438972,False,False,False,1.5282,0.0079,0.0429,0.6692,0.02807224185316058,True,False,0.97,-5.0,12.066924643367525
b'VFID0039',188.6601795,73.6666935,b'UGC07745',False,-2.8120844,False,False,False,4.6968,0.2396,190.377,0.0,40.53334184977006,True,False,0.48,9.8,
b'VFID0040',279.634545,73.6567366,b'PGC062173',False,157.89906,False,False,False,3.9381,0.0676,3.4685,0.0525,0.880754678652142,False,False,0.2,3.3,
b'VFID0041',126.95062499999999,73.6513333,b'UGC04389',False,23.623764,False,False,True,4.4387,0.0922,4.8602,5.2488,1.094960236105166,True,False,0.72,7.5,
b'VFID0042',127.27170000000001,73.629097,b'PGC023809',False,6.988699,False,False,False,3.2983,0.0969,3.1285,0.4344,0.9485189339963012,False,False,0.79,4.8,
b'VFID0043',190.9086435,73.6133058,b'UGC07908',False,22.965435,False,False,False,7.2179,0.0622,5.7302,0.366,0.793887418778315,False,False,0.24,5.9,
b'VFID0044',279.748125,73.6099707,b'UGC11331',False,0.0,False,False,False,0.0,0.0,0.0,0.0,,False,False,0.0,8.7,
b'VFID0045',138.0624165,73.5940833,b'PGC025939',False,78.21234,False,False,True,3.2252,0.0167,2.641,0.0375,0.8188639464219273,False,True,0.75,9.0,12.17706599869482
b'VFID0046',279.8548155,73.580134,b'NGC6654A',False,0.0,False,False,False,0.0,0.0,0.0,0.0,,False,False,0.0,7.0,12.249509547850023
b'VFID0047',131.990334,73.5393333,b'IC2389',False,115.47895,False,False,True,5.111,0.0769,5.7829,0.0883,1.131461553512033,False,True,0.27,3.0,
b'VFID0048',126.96500999999999,73.5170624,b'UGC04390',False,26.041212,False,False,True,19.9791,4.7814,12.4865,2.8786,0.624978102116712,False,True,0.76,6.6,11.701663109835742
b'VFID0049',108.585708,73.4806204,b'PGC020460',True,35.869293,False,False,False,0.0,0.0,0.0,0.0,,False,False,0.0,-4.0,11.938178030403613
b'VFID0050',108.584667,73.4733889,b'PGC200231',True,51.331863,False,False,True,0.0,0.0,0.0,0.0,,False,False,0.0,4.0,11.938178030403613
b'VFID0051',108.046542,73.4706111,b'UGC03705',False,58.55133,False,False,True,3.649,0.1912,4.2929,0.1041,1.176459303918882,False,True,0.75,4.9,11.951887597518407
b'VFID0052',259.0219695,73.4360503,b'UGC10803',False,502.44345,False,False,True,3.6136,0.0077,3.966,0.0074,1.0975204781934913,False,True,0.71,1.5,11.600540984834158
b'VFID0053',268.56899999999996,73.4239444,b'NGC6538',False,105.90234,False,False,False,3.2889,0.0206,2.7593,0.0243,0.8389735169813616,False,False,0.47,3.9,
b'VFID0054',126.20955900000001,73.4119916,b'NGC2551',False,63.15577,False,False,True,3.882,0.0165,7.6117,0.1796,1.960767645543534,False,True,0.62,0.5,11.646460573657919
b'VFID0055',154.223655,73.4007336,b'NGC3147',False,1263.3011,False,False,True,11.868,0.0673,12.4194,0.028,1.0464610717896865,False,True,0.86,3.9,12.800252105003878
b'VFID0056',144.33534,73.3846596,b'UGC05110',False,1.0899075,False,False,False,4.7644,0.2085,2.2857,50.4229,0.47974561329863147,True,False,0.85,9.9,
b'VFID0057',155.195925,73.2842714,b'UGC05570',False,24.343256,False,False,False,3.9535,0.0368,3.1033,0.1626,0.7849500442645757,False,False,0.21,4.1,
b'VFID0058',133.31475,73.1888333,b'PGC024949',False,113.441765,False,False,False,1.8283,0.0522,1.0152,0.0285,0.5552699228791774,False,False,0.69,3.0,11.760262350827224
b'VFID0059',276.03133349999996,73.18325,b'NGC6654',False,128.45042,False,False,False,0.0,0.0,0.0,0.0,,False,False,0.0,-0.6,12.249509547850023
b'VFID0060',193.7208855,73.1783368,b'UGC08052',False,148.5989,False,False,False,6.5651,0.0296,4.7635,0.0911,0.725579199098262,False,False,0.25,4.7,12.498867228356989
b'VFID0061',120.509523,73.0453448,b'UGC04137',False,11.282215,False,False,True,8.4179,0.1017,12.234,2.3036,1.453331591014386,False,True,0.63,8.0,12.889424165189025
b'VFID0062',113.878335,72.968333,b'PGC3085816',False,-0.534449,False,False,False,18.3902,36.5095,0.0,0.0,0.0,False,False,0.92,10.0,
b'VFID0063',124.87912200000001,72.9678005,b'PGC090836',False,2.7409258,False,False,False,3.9714,0.1966,0.0374,3.0115,0.009417333937654229,True,False,0.17,5.9,
b'VFID0064',113.09656799999999,72.9086921,b'UGC03878',False,6.0386024,False,False,False,4.5429,0.1083,3.1287,8.2809,0.6887010499900943,False,False,0.84,8.0,
b'VFID0065',131.9899995,72.8957222,b'NGC2641',False,22.85732,False,False,False,7.2847,0.3158,25.2294,117.3226,3.4633409749200377,True,False,0.95,-2.0,13.407472694549636
b'VFID0066',192.53004149999998,72.8744722,b'NGC4750',False,1013.5901,False,False,True,7.8489,0.0156,6.4832,0.0098,0.8260010956949381,False,True,0.79,2.4,12.30927379863236
b'VFID0067',161.7916245,72.8396667,b'NGC3348',True,62.897396,False,False,False,10.9751,0.1295,5.0637,0.214,0.46138076190649746,False,False,0.91,-4.8,12.690377648870385
b'VFID0068',161.92425,72.8218611,b'PGC032213',True,59.519646,False,False,False,2.3185,0.0507,2.4311,0.0641,1.0485658831140825,False,False,0.56,3.4,
b'VFID0069',116.24884949999999,72.8109551,b'UGC03975',False,9.140986,False,False,False,5.7977,0.1099,8.4136,1.2891,1.4511961639960675,False,False,0.6,8.0,
b'VFID0070',122.746833,72.7944444,b'UGC04242',False,80.316734,False,False,True,2.8101,0.0325,1.057,0.0218,0.3761431977509697,False,True,0.78,4.6,11.769361458515629
b'VFID0071',257.987931,72.5820128,b'PGC2750394',False,35.82534,False,False,False,2.1829,0.0248,1.7989,0.0922,0.8240872234183884,False,False,0.42,0.0,
b'VFID0072',112.0477995,72.573013,b'UGC03838',False,72.58323,False,False,True,3.7717,0.0197,3.5528,0.0464,0.9419625102738818,False,True,0.51,7.8,11.427965870351704
b'VFID0073',166.69779,72.5685398,b'NGC3516',False,1183.0701,False,False,False,0.0,0.0,0.0,0.0,,False,False,0.0,-1.9,12.779933455191568
b'VFID0074',112.736253,72.5175576,b'UGC03864',False,22.306143,False,False,True,5.7457,0.1181,9.3884,2.0961,1.633987155612023,False,True,0.74,4.9,12.212638162293802
b'VFID0075',146.696916,72.4505833,b'PGC028070',False,68.43297,False,False,False,0.4948,0.0471,0.009878,4.521,0.019963621665319318,True,False,0.86,,
b'VFID0076',256.1414385,72.4466523,b'UGC10713',False,465.8042,False,False,True,5.9549,0.0205,5.5394,0.0113,0.9302255285563149,False,True,0.22,3.0,11.51720169816518
b'VFID0077',162.124125,72.4250556,b'NGC3364',False,271.60983,False,False,True,6.3228,0.0216,6.7623,0.0371,1.0695103435186941,False,True,0.81,5.0,12.346265391413448
b'VFID0078',257.554614,72.4106026,b'IC1251',False,46.646282,False,False,True,6.9668,0.0657,10.0285,0.4795,1.4394700579893207,False,True,0.51,6.0,11.871459584783247
b'VFID0079',257.889294,72.4019766,b'IC1254',False,37.767876,False,False,False,15.4428,0.2646,15.4703,0.5417,1.001780765146217,False,False,0.37,3.4,
b'VFID0080',258.6611355,72.3987504,b'UGC10791',False,20.884367,False,False,False,9.6696,0.0876,8.6854,0.383,0.8982170927442705,False,False,0.73,8.8,
