Week of:,Week Number,World,Data,,,,,,,,Min,Max,Average,Data Points,Observed Variance,Prev 1W Average,Prev 2W Average,Prev 3W Average,Prev 4W Average,Prev 5W Average,Prev 6W Average,Prev 7W Average,Prev 8W Average,Prev 9W Average,Prev 10W Average
07/Feb/24,1,301,16,,,,,,,,16,16,16,1,0,,,,,,,,,,
,1,308,,,,,,,,,,,,0,,,,,,,,,,,
,1,316,23,,,,,,,,23,23,23,1,0,,,,,,,,,,
,1,326,23,21,,,,,,,21,23,22,2,2,,,,,,,,,,
,1,335,24,17,11,23,10,19,,,10,24,17.33333333,6,14,,,,,,,,,,
,1,372 (750),24,,,,,,,,24,24,24,1,0,,,,,,,,,,
,1,379,21,,,,,,,,21,21,21,1,0,,,,,,,,,,
,1,380,23,,,,,,,,23,23,23,1,0,,,,,,,,,,
,1,381 (500),9,,,,,,,,9,9,9,1,0,,,,,,,,,,
,1,382,14,,,,,,,,14,14,14,1,0,,,,,,,,,,
,1,383,27,27,,,,,,,27,27,27,2,0,,,,,,,,,,
,1,384,11,6,2,,,,,,2,11,6.333333333,3,9,,,,,,,,,,
,1,393 (750),,,,,,,,,,,,0,,,,,,,,,,,
,1,397,9,14,6,13,6,,,,6,14,9.6,5,8,,,,,,,,,,
,1,398,22,25,,,,,,,22,25,23.5,2,3,,,,,,,,,,
,1,399,29,23,,,,,,,23,29,26,2,6,,,,,,,,,,
,1,413 (500),,,,,,,,,,,,0,,,,,,,,,,,
,1,414 (750),8,0,,,,,,,0,8,4,1,8,,,,,,,,,,
,1,417,17,9,15,,,,,,9,17,13.66666667,3,8,,,,,,,,,,
,1,418,21,17,28,,,,,,17,28,22,3,11,,,,,,,,,,
,1,419 (500),,,,,,,,,,,,0,,,,,,,,,,,
,1,427 (500),,,,,,,,,,,,0,,,,,,,,,,,
,1,430,,,,,,,,,,,,0,,,,,,,,,,,
,1,431,5,,,,,,,,5,5,5,1,0,,,,,,,,,,
,1,432 (750),,,,,,,,,,,,0,,,,,,,,,,,
,1,433,17,,,,,,,,17,17,17,1,0,,,,,,,,,,
,1,434,32,27,,,,,,,27,32,29.5,2,5,,,,,,,,,,
,1,435,16,7,,,,,,,7,16,11.5,2,9,,,,,,,,,,
,1,436,31,,,,,,,,31,31,31,1,0,,,,,,,,,,
,1,437,12,13,21,,,,,,12,21,15.33333333,3,9,,,,,,,,,,
,1,451,11,13,7,5,6,,,,5,13,8.4,5,8,,,,,,,,,,
,1,452,14,18,,,,,,,14,18,16,2,4,,,,,,,,,,
,1,453,18,,,,,,,,18,18,18,1,0,,,,,,,,,,
,1,454,4,3,,,,,,,3,4,3.5,2,1,,,,,,,,,,
,1,455,34,25,,,,,,,25,34,29.5,2,9,,,,,,,,,,
,1,456,23,26,14,,,,,,14,26,21,3,12,,,,,,,,,,
,1,468 (500),13,16,,,,,,,13,16,14.5,2,3,,,,,,,,,,
,1,469,30,23,26,,,,,,23,30,26.33333333,3,7,,,,,,,,,,
,1,475,28,17,27,30,,,,,17,30,25.5,4,13,,,,,,,,,,
,1,476,30,32,34,23,,,,,23,34,29.75,4,11,,,,,,,,,,
,1,483,20,11,9,12,15,,,,9,20,13.4,5,11,,,,,,,,,,
,1,497,20,27,,,,,,,20,27,23.5,2,7,,,,,,,,,,
,1,498,0,14,16,,,,,,0,16,10,2,16,,,,,,,,,,
,1,499,24,12,9,,,,,,9,24,15,3,15,,,,,,,,,,
,1,500,24,23,20,24,15,,,,15,24,21.2,5,9,,,,,,,,,,
,1,501,29,32,41,34,,,,,29,41,34,4,12,,,,,,,,,,
