OBJNAME,OBJID,RA,DEC,Z,OBJTYPE,WISESize_flag,SNR_NUV_flag,SNR_W3_flag,SNR_flag,Mstar_all_flag,SFR_flag,sSFR_flag,Mstar_size_flag,tempel2014_flag,tempel2017_flag,tempel2017_groupIDs,tempel2017_Ngal,group_R200,group_M200,tempel2017_group_flag,tempel2017_cluster_flag,tempel2014_nearfilament_flag,tempel2014_farfilament_flag,KT2017_flag,KT2017_pg_flag,KT2017_rg_flag,tempel_field_flag,2D_5NN,2D_Sigma_Mstar,2D_3NN,Mstar,log_Sigma_M0,log_Sigma_M1,log_Sigma_M2,log_Sigma_M3,log_Sigma_M4,log_Sigma_M5,log_Sigma_M6,log_Sigma_M7,log_Sigma_M8,log_Sigma_M9,log_Sigma_M10,log_Sigma_M11,log_Sigma_M12,log_Sigma_M13,log_Sigma_M14,log_Sigma_M15,log_Sigma_M16,log_Sigma_M17,Sigma_ngal_0,Sigma_ngal_1,Sigma_ngal_2,Sigma_ngal_3,Sigma_ngal_4,Sigma_ngal_5,Sigma_ngal_6,Sigma_ngal_7,Sigma_ngal_8,Sigma_ngal_9,Sigma_ngal_10,Sigma_ngal_11,Sigma_ngal_12,Sigma_ngal_13,Sigma_ngal_14,Sigma_ngal_15,Sigma_ngal_16,Sigma_ngal_17,log_Sigma_ngal_0,log_Sigma_ngal_1,log_Sigma_ngal_2,log_Sigma_ngal_3,log_Sigma_ngal_4,log_Sigma_ngal_5,log_Sigma_ngal_6,log_Sigma_ngal_7,log_Sigma_ngal_8,log_Sigma_ngal_9,log_Sigma_ngal_10,log_Sigma_ngal_11,log_Sigma_ngal_12,log_Sigma_ngal_13,log_Sigma_ngal_14,log_Sigma_ngal_15,log_Sigma_ngal_16,log_Sigma_ngal_17,ratio_ngal_1,ratio_SigmaM_1,ratio_SigmaM_2,ratio_SigmaM_3,ratio_SigmaM_4,ratio_ngal_2,ratio_SigmaM_5,Sigma_2,Sigma_3,Sigma_5,Sigma_10,Sigma_20,ratio_Sigmak_1
b'UGC 03818',b'OBJID15363',110.69474999999998,41.658249999999995,0.023359202,b'G',True,True,True,True,True,False,True,True,True,True,0,1,-99.0,-99.0,False,False,False,False,False,False,False,True,0.4595002114907101,176812170832.3115,0.3096800005760252,10.69890453841791,10.042926082971775,10.042926082971775,10.201754665723778,10.201754665723778,10.201754665723778,10.451632138940377,10.80381465705174,10.201754665723778,9.96856791587391,9.96856791587391,10.042926082971775,11.4058746483797,11.4058746483797,9.96856791587391,10.201754665723778,9.713350443086469,12.201754665723778,9.713350443086469,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,3.0,1.0,1.0,7.0,1.0,8.0,1.0,8.0,0.47712125471966244,0.47712125471966244,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.8450980400142568,0.47712125471966244,0.0,0.0,0.8450980400142568,0.0,0.9030899869919435,0.0,0.9030899869919435,-0.8450980400142568,0.0,0.23318674984986743,-0.6020599913279607,-0.6020599913279625,0.0,1.0904642139652712,-0.4362706479693437,-0.509086840881285,-0.33771428438836565,-0.8620995915807395,-0.8276660024904324,-0.4258289436113958
b'KUG 0722+407',b'OBJID15595',111.48095833333332,40.69969444444444,0.012338,b'G',True,True,False,True,True,False,True,True,True,True,87898,4,0.35912,5006860000000.0,True,False,False,True,False,False,False,False,0.3090218265782754,10672801784.50407,0.27584375328131266,9.479670825908515,8.630338435103019,8.630338435103019,8.982520953214381,8.982520953214381,8.982520953214381,9.232398426430981,9.584580944542344,8.982520953214381,8.380460961886419,8.380460961886419,8.630338435103019,10.186640935870306,10.186640935870306,9.287997087298978,8.982520953214381,9.717825150412144,10.982520953214381,9.832122193064697,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,7.0,1.0,15.0,1.0,19.0,0.47712125471966244,0.47712125471966244,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.0,0.0,0.3010299956639812,0.6989700043360189,0.0,0.0,0.0,0.0,0.8450980400142568,0.0,1.1760912590556813,0.0,1.2787536009528289,-0.39794000867203766,0.0,0.6020599913279625,-0.6020599913279625,-0.6020599913279625,0.3010299956639812,-0.13324420586980068,-0.5573097971686887,-0.5593368465663966,-0.5100108447572569,-0.39495397908259444,-0.311194900731998,0.16235581808609423
b'UGC 03844',b'OBJID05311',111.64745833333332,43.29633333333333,0.010440556,b'G',True,False,False,False,True,False,False,True,True,True,0,1,-99.0,-99.0,False,False,False,False,True,False,False,True,0.42795850223643545,156612291958.93076,0.3055748081545314,10.64621822746992,9.796885836664423,9.796885836664423,10.149068354775785,10.149068354775785,10.149068354775785,10.398945827992385,10.751128346103748,10.149068354775785,9.575639762161686,9.547008363447823,9.796885836664423,11.35318833743171,11.35318833743171,9.575639762161686,10.149068354775785,9.345337187340427,12.149068354775785,9.345337187340427,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,5.0,2.0,1.0,1.0,6.0,2.0,7.0,1.0,7.0,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.0,0.3010299956639812,0.7781512503836436,0.6989700043360189,0.3010299956639812,0.0,0.0,0.7781512503836436,0.3010299956639812,0.8450980400142568,0.0,0.8450980400142568,-0.47712125471966244,0.0,0.5734285926140998,-0.6020599913279625,-0.6020599913279625,0.3010299956639812,1.4057911587633214,-0.5880641348083813,-0.5148824522247607,-0.36859834108841455,-0.6040778604994024,-0.43329816429865325,-0.016013725691021108
b'UGC 03871',b'OBJID12294',112.31933333333332,42.27963888888889,0.023065956,b'G',True,True,True,True,True,True,True,True,True,True,0,1,-99.0,-99.0,False,False,True,False,False,False,False,False,0.1536328808921384,103419039105.2675,0.18578136318530047,10.465992880438794,9.616660489633297,9.616660489633297,9.96884300774466,9.96884300774466,9.96884300774466,10.21872048096126,10.570902999072622,9.96884300774466,9.366783016416697,9.366783016416697,9.616660489633297,11.172962990400585,11.172962990400585,9.366783016416697,9.96884300774466,9.547489061264008,11.96884300774466,9.681773227424506,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,5.0,1.0,8.0,0.3010299956639812,0.47712125471966244,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.0,0.0,0.47712125471966244,0.3010299956639812,0.6989700043360189,0.0,0.9030899869919435,0.0,0.0,0.6020599913279625,-0.6020599913279625,-0.6020599913279625,0.0,1.0234139378086144,-0.8875998158577295,-0.7309978547758657,-0.8135158255689131,-0.9530133650244947,-0.8780076755928462,-0.06541354916676523
b'MCG +08-14-023',b'OBJID15498',112.69854166666666,46.01016666666667,0.021199966,b'G',True,True,False,True,True,True,True,True,True,True,0,1,-99.0,-99.0,False,False,False,False,False,False,False,True,0.09199348289258277,14771872349.484734,0.07597498217222043,9.620827928191067,8.77149553738557,8.77149553738557,9.123678055496933,9.123678055496933,9.123678055496933,9.373555528713533,9.725738046824896,9.123678055496933,8.52161806416897,8.52161806416897,8.77149553738557,10.327798038152858,10.327798038152858,8.52161806416897,9.123678055496933,8.169435546057608,11.123678055496933,8.485471149280746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.6020599913279625,-0.6020599913279625,-0.6020599913279625,0.0,1.5563025007672877,-1.276529867031382,-1.1193293931566368,-1.036242938350555,-0.8388884352813335,-0.6360257878679811,0.43764143175004855
b'UGC 03888',b'OBJID03481',112.728,39.01947222222222,0.019867508,b'G',True,True,True,True,True,True,True,True,True,True,0,1,-99.0,-99.0,False,False,False,False,False,False,False,True,0.09497589377365906,69022170133.33714,0.06260099921189574,10.290380992002241,9.441048601196744,9.441048601196744,9.793231119308107,9.793231119308107,9.793231119308107,10.043108592524707,10.39529111063607,9.793231119308107,9.28833434095728,9.191171127980144,9.441048601196744,10.997351101964032,10.997351101964032,9.40105680499968,9.793231119308107,8.936151822845918,11.793231119308107,9.680863536634162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.47712125471966244,0.0,0.9542425094393249,-0.3010299956639812,0.0,0.5048967783508278,-0.6020599913279625,-0.6020599913279625,0.0,1.4591392877901512,-1.0195044168359257,-1.2034187347009238,-1.0223866108120228,-0.8002940691365892,-0.6912512935793884,0.21921034769933656
b'NGC 2410',b'OBJID12936',113.75941666666665,32.82211111111111,0.015466518,b'G',True,True,True,True,True,True,True,True,True,True,0,1,-99.0,-99.0,False,False,False,False,False,False,False,True,2.1823429946719606,319773044735.5381,3.6096540870364464,10.956234234239107,10.574043143931352,10.582780563715787,10.654592437420597,10.622291604241186,10.622291604241186,10.85384536298869,11.192265305095436,10.637774438358132,10.704832512084185,10.529190342542822,10.418891680076852,11.663204344200897,11.663204344200897,10.711002106602407,10.622291604241186,10.516070437322789,12.459084361544972,10.520314685545303,13.0,14.0,7.0,5.0,5.0,4.0,3.0,6.0,30.0,18.0,7.0,1.0,1.0,32.0,4.0,46.0,1.0,48.0,1.1139433523068367,1.146128035678238,0.8450980400142568,0.6989700043360189,0.6989700043360189,0.6020599913279624,0.47712125471966244,0.7781512503836436,1.4771212547196624,1.255272505103306,0.8450980400142568,0.0,0.0,1.505149978319906,0.6020599913279624,1.662757831681574,0.0,1.6812412373755872,-0.6989700043360187,0.01548283411694662,-0.06705807372605221,-0.47093903910546153,-0.5544908667373036,0.3010299956639812,0.6761948677726473,0.5261472862867438,0.557465585482047,0.3389230088493936,0.17036511693614045,0.32333573932917725,-0.35578216935060336
b'IC 2201',b'OBJID00493',114.07004166666665,33.12272222222222,0.0156575,b'G',True,True,False,False,True,True,True,True,True,True,78283,2,0.215647,1088379999999.9999,True,False,False,False,False,False,False,False,3.510159614651619,126628182962.17067,3.890619328801238,10.503330728384993,10.313856200090113,10.313856200090113,10.637774438358132,10.622291604241186,10.622291604241186,10.887651911574732,11.224351595569148,10.637774438358132,10.6593225469897,10.466619798687967,10.270109086129823,11.260892867150917,11.260892867150917,10.6593225469897,10.622291604241186,10.532074847825157,12.00618085569086,10.533752004375584,10.0,10.0,6.0,4.0,5.0,6.0,4.0,6.0,25.0,14.0,4.0,2.0,2.0,25.0,4.0,49.0,1.0,50.0,1.0,1.0,0.7781512503836436,0.6020599913279624,0.6989700043360189,0.7781512503836436,0.6020599913279624,0.7781512503836436,1.3979400086720377,1.146128035678238,0.6020599913279624,0.3010299956639812,0.3010299956639812,1.3979400086720377,0.6020599913279624,1.6901960800285136,0.0,1.6989700043360187,-0.6197887582883941,0.01548283411694662,-0.021548108631566976,-0.03654127158176834,-0.5865771572110159,0.17609125905568124,0.6922767477439908,0.5154875667274573,0.5900187400587733,0.5453268652368624,0.10873566076783285,0.23549018728847143,-0.40675190595962446
b'KUG 0733+332',b'OBJID12304',114.19004166666664,33.12275,0.016194679,b'G',True,True,False,False,True,True,True,True,True,True,78283,2,0.215647,1088379999999.9999,True,False,False,True,False,False,False,False,3.1611487419077933,126628182962.17067,3.2923499831293754,9.595170065463286,10.313856200090113,10.313856200090113,10.637774438358132,10.622291604241186,10.622291604241186,10.887651911574732,10.720255633403049,10.637774438358132,10.382330905983974,10.262298918945978,10.270109086129823,11.260892867150917,11.260892867150917,10.382330905983974,10.622291604241186,10.501234033039594,11.098020192769152,10.521285391208105,10.0,10.0,6.0,4.0,4.0,6.0,3.0,6.0,20.0,11.0,4.0,2.0,2.0,20.0,4.0,44.0,1.0,46.0,1.0,1.0,0.7781512503836436,0.6020599913279624,0.6020599913279624,0.7781512503836436,0.47712125471966244,0.7781512503836436,1.3010299956639813,1.0413926851582251,0.6020599913279624,0.3010299956639812,0.3010299956639812,1.3010299956639813,0.6020599913279624,1.6434526764861874,0.0,1.662757831681574,-0.5228787452803376,0.01548283411694662,0.2554435323741586,-0.5406372337478675,-0.08248119504491669,0.3010299956639812,0.21902160036345464,0.6050413910613672,0.5175059953321037,0.49984493123027723,0.11714594173165384,0.1834493430137188,-0.4878954493297134
b'UGC 03933',b'OBJID06599',114.40466666666666,41.94705555555555,0.019676946,b'G',True,True,True,True,True,True,True,True,True,True,41861,2,0.108637,139611000000.0,True,False,True,False,False,False,False,False,0.1953041412609262,127820436188.91133,0.8187517957422294,10.557992677384128,9.708660286578631,9.903864787872454,10.256047305983817,10.060842804689994,10.060842804689994,10.310720277906594,10.662902796017956,10.060842804689994,9.458782813362031,9.458782813362031,9.708660286578631,11.264962787345919,11.264962787345919,9.653987314655854,10.060842804689994,9.20520587454389,12.060842804689994,9.526799551377726,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,7.0,1.0,10.0,0.6020599913279624,0.6989700043360189,0.6020599913279624,0.47712125471966244,0.47712125471966244,0.47712125471966244,0.47712125471966244,0.47712125471966244,0.6020599913279624,0.6020599913279624,0.6020599913279624,0.47712125471966244,0.47712125471966244,0.6989700043360189,0.47712125471966244,0.8450980400142568,0.0,1.0,-0.12493873660829996,0.0,0.6020599913279625,-0.6020599913279625,-0.6020599913279625,0.0,1.4576969214740672,1.4153424461306368,-0.08684773447486473,-0.7092885477633483,-0.9450002318586117,-0.8860063208032726,-2.3603426779892485
